Time	Austria	Belgium	Canada	Chile	Colombia	Denmark	Estonia	Finland	France	Germany	Greece	Hungary	Iceland	Ireland	Israel	Italy	Japan	Korea	Latvia	Lithuania	Luxembourg	Mexico	Netherlands	Norway	Poland	Portugal	Slovenia	Spain	Sweden	Switzerland	United_Kingdom		Euro_area	G7	G20	OECD	  Brazil	  India	  Indonesia	  Russia
Jan-2000	73,5	73,8	73,9	60,8	47,1	74,9	58,4	77,6	79,2	79,5	69,9	49,7	45,7	72,3	75,5	74,1	99,2	65,8	54,9	69,3	71,5	51,3	73,6	74,5	67,9	72	60,3	70	82,3	92,8	72,6	71,2	74,8	75,9	59,8	69,8	37,1	35,7	32,5	18,8
Feb-2000	73,95782	74,11115	74,34817	61,11745	48,18894	75,40388	58,49982	78,13963	79,27	79,57813	69,78517	50,25907	45,53262	72,8632	75,26021	74,32545	98,85467	66,04089	55,1951	69,3486	72,44603	51,71365	74	74,8	68,43295	71,83872	60,89	70,13805	82,66904	93,14778	72,8	71,64043	75,06	76,15012	60,13014	70,18038	37,13331	35,65413	32,47869	19,01899
Mar-2000	74,2	74,4	74,9	61,6	49	75,9	58,9	78,6	79,6	79,6	71,5	50,7	45,9	73,4	74,9	74,5	99,1	66,4	55,1	69,2	72,6	52	74,7	74,9	69,1	71,9	61,4	70,4	83,1	93,1	73	72,2	75,3	76,6	60,4	70,6	37,2	36	32,3	19,1
Apr-2000	74,11687	74,5373	74,66421	61,85841	49,50237	76,01382	58,96126	78,79639	79,64	79,57813	71,83856	51,1473	46,15807	73,85995	75,36696	74,59161	99,2619	66,10625	55,26949	69,1837	72,90659	52,29621	74,78	75,1	69,34727	72,78614	61,78	70,70887	82,99137	93,1974	73,3	72,2733	75,41	76,63625	60,57344	70,74387	37,37136	36,31746	32,50993	19,31106
May-2000	74,2	74,8	75	62	49,8	76,3	59	79	79,8	79,5	72	51,4	46,3	74,5	75,9	74,9	99,4	65,8	55,1	68,9	73	52,5	75	75,2	69,8	73,2	62	70,8	83,4	93,2	73,5	72,4	75,5	76,7	60,7	70,9	37,4	36,5	32,8	19,6
Jun-2000	74,75307	75,03283	75,45431	62,13148	49,7471	76,54752	59,21761	79,22369	80	79,85801	71,77039	51,66543	46,49165	74,95639	76,22098	75,05739	99,1601	66,10625	55,1951	69,4642	73,47027	52,80263	74,94	75,6	70,33191	73,56239	62,44	71,0408	83,37114	93,49832	73,6	72,7374	75,76	77,0224	60,9294	71,1497	37,46114	36,64912	32,94731	20,15006
Jul-2000	74,8	75,2	75,7	62,2	49,7	76,2	59,7	79	79,9	80,2	70,5	52,2	46,7	75,2	76,4	75,2	98,9	66,4	54,9	69,2	72,7	53	74,8	75,3	70,8	73,8	63	71,5	83	93,6	73,3	72,9	75,8	77,1	61,1	71,3	38,1	36,9	33,4	20,5
Aug-2000	74,81271	75,15176	75,61233	62,37478	49,88579	76,16631	59,83286	79,28699	80,02	80,04459	70,62862	52,47964	46,49165	75,55445	75,90072	75,25701	99,1601	66,70502	54,6	68,7618	73,64899	53,29988	75,08	75,3	70,61324	73,83308	63,13	71,77215	83,03286	93,32551	73,3	72,90617	75,9	77,13457	61,26291	71,42004	38,56297	36,73204	33,5409	20,71175
Sep-2000	75	75,7	75,9	62,8	50,1	76,7	60,1	80	80,4	80,2	72,1	53,1	46,6	75,9	75,5	75,4	99,1	67,6	54,6	68,8	74	53,7	76	76	71,3	73,8	64	72	83,6	93,8	73,8	73,3	76,2	77,4	61,6	71,8	38,7	36,8	33,5	21
Oct-2000	75,17058	75,48872	76,08639	63,1336	50,17132	76,85249	60,65319	80,0308	80,33	80,13789	72,922	53,36787	47,0754	76,35186	75,90072	75,65625	99,05828	67,50409	54,87896	68,901	74,26766	54,05894	76,12	76	71,87921	74,06695	64,38	72,14162	83,80198	93,69269	73,8	73,41245	76,27	77,52103	61,85034	71,96188	38,70566	37,22954	33,90955	21,42793
Nov-2000	75,4	75,7	76,3	63,3	50,3	76,9	61	80	80,5	80,2	73,3	53,7	47,2	76,7	75,9	75,9	98,8	67,1	55,1	69,2	74,5	54,5	76,1	76,4	72,2	74,7	65,1	72,3	83,8	94,1	74	73,5	76,4	77,6	62	72,1	38,8	37,3	34,4	21,8
